metric,r_value,r_squared,p_value
total_time,0.0007209381686584382,5.197518430285827e-07,0.9931334032314063
total_distance,-0.09795280140921861,0.00959475130391382,0.24114878225117253
net_distance,-0.050432036997430554,0.0025433903557102043,0.5469015263053196
confinement_ratio,0.10697581644463812,0.011443825303996907,0.20030303575526734
mean_curvilinear_speed,-0.110168557312192,0.012137111020249731,0.1871215004690094
mean_linear_speed,-0.05375239198468724,0.0028893196440754687,0.5207908237629552
mean_angular_speed,0.07309799166819228,0.0053433163859231084,0.382244766583136
max_sprint_length,-0.1642903445152911,0.026991317300953038,0.0483097065754383
num_rotations,0.12741026424660748,0.016233375435390343,0.12671752413538928
num_direction_changes,0.06224183167023866,0.0038740456096663244,0.4570425515346842
pivot_rate,0.02342296246038493,0.0005486351704206017,0.7797483234042711
